,time,high,low,open,volumefrom,volumeto,close
0,1525824000,9373.46,8987.27,9196.13,67939.11,625495066.08,9321.16
1,1525910400,9393.95,9017.13,9321.52,67915.99,629850604.12,9032.22
2,1525996800,9032.27,8363.5,9032.22,134727.27,1176888629.2,8421.0
3,1526083200,8653.8,8225.97,8420.82,92805.87,783972252.35,8486.67
4,1526169600,8773.96,8350.91,8488.07,61066.94,525395861.86,8709.46
5,1526256000,8883.0,8312.72,8709.46,101370.46,874543293.99,8672.9
6,1526342400,8848.69,8441.25,8672.88,84517.8,730739738.9,8480.16
7,1526428800,8501.65,8119.17,8480.16,95203.5,789660713.22,8344.78
8,1526515200,8476.45,8015.77,8342.69,74445.77,615539512.71,8071.04
9,1526601600,8280.45,7940.35,8071.04,68665.67,558167598.76,8247.91
10,1526688000,8397.27,8160.8,8247.91,45978.21,381458405.45,8249.24
11,1526774400,8591.45,8181.46,8249.24,49694.23,418898289.02,8533.0
12,1526860800,8585.85,8347.88,8533.22,54602.79,463653636.91,8419.65
13,1526947200,8428.6,7962.43,8419.67,66032.52,543342369.36,7992.75
14,1527033600,8031.63,7460.66,7992.75,120597.47,934151146.29,7505.77
15,1527120000,7729.48,7283.77,7505.77,109709.83,826278113.25,7584.74
16,1527206400,7652.37,7347.96,7584.78,84630.56,634474356.99,7475.36
17,1527292800,7626.69,7314.71,7475.36,48994.09,368322782.27,7355.06
18,1527379200,7420.07,7256.67,7355.06,46446.45,341348321.23,7362.23
19,1527465600,7455.55,7092.91,7362.23,72505.5,526854342.95,7118.88
20,1527552000,7533.03,7069.01,7118.88,86536.7,634849312.09,7474.75
21,1527638400,7571.08,7295.78,7474.75,67797.62,505870974.98,7393.02
22,1527724800,7608.87,7349.52,7393.02,60780.47,458223966.12,7502.15
23,1527811200,7614.66,7370.27,7501.74,61082.25,458687659.47,7530.55
24,1527897600,7697.34,7467.79,7530.55,47435.99,362414878.61,7643.26
25,1527984000,7774.96,7606.76,7643.26,42988.84,332313005.46,7719.75
26,1528070400,7760.73,7469.21,7719.73,56223.86,427448262.3,7503.2
27,1528156800,7672.7,7394.97,7503.32,58424.84,440337235.4,7629.4
28,1528243200,7701.35,7504.98,7629.4,51911.42,396116252.65,7661.79
29,1528329600,7755.92,7651.13,7661.79,44318.41,342475552.09,7700.11
30,1528416000,7709.61,7559.5,7700.4,40500.95,310119047.41,7627.52
31,1528502400,7691.74,7495.72,7627.56,28511.04,218013881.09,7513.69
32,1528588800,7514.04,6661.98,7513.76,127797.43,895514425.38,6773.72
33,1528675200,6913.85,6652.89,6773.72,71169.64,482788065.15,6887.37
34,1528761600,6888.33,6462.61,6887.43,75997.29,509372466.34,6556.94
35,1528848000,6623.0,6140.63,6556.94,124304.17,797087281.14,6310.43
36,1528934400,6719.44,6286.23,6310.43,95038.67,620296377.11,6643.26
37,1529020800,6667.23,6380.69,6643.63,57731.42,379228601.07,6396.71
38,1529107200,6569.15,6345.99,6396.71,35851.38,232802782.59,6503.1
39,1529193600,6585.77,6446.38,6503.1,34359.95,224575526.46,6457.78
40,1529280000,6802.03,6401.41,6457.78,65285.57,430241689.13,6714.82
41,1529366400,6839.6,6672.2,6714.56,54949.84,370797057.99,6741.28
42,1529452800,6817.9,6569.96,6741.28,59674.47,400530201.24,6761.27
43,1529539200,6790.08,6687.66,6761.27,43765.89,295690715.67,6720.64
44,1529625600,6731.51,5941.32,6720.64,137346.53,862826624.25,6051.47
45,1529712000,6257.88,6033.2,6051.47,57011.61,350697378.49,6166.54
46,1529798400,6254.02,5782.13,6166.36,110833.06,667479078.32,6157.78
47,1529884800,6344.45,6095.25,6157.78,79086.4,492834172.99,6260.35
48,1529971200,6286.36,6067.49,6260.4,62925.3,391396653.43,6088.39
49,1530057600,6192.11,6021.69,6092.26,62639.82,383457137.86,6141.57
50,1530144000,6172.23,5844.26,6141.57,63585.51,385907044.98,5871.28
51,1530230400,6286.67,5813.02,5870.81,92884.98,554799001.51,6203.8
52,1530316800,6503.33,6194.51,6203.81,65571.19,419284677.69,6385.38
53,1530403200,6429.5,6262.72,6385.43,40809.54,259708490.63,6339.04
54,1530489600,6673.71,5537.86,6342.69,73069.19,465915661.24,6615.66
55,1530576000,6670.3,6473.48,6616.6,54662.02,356390898.98,6509.58
56,1530662400,6777.97,6411.13,6508.43,62355.75,412202352.61,6590.06
57,1530748800,6691.32,6448.23,6589.77,63771.67,421189063.01,6534.81
58,1530835200,6633.44,6458.14,6534.81,47259.68,310759733.14,6602.02
59,1530921600,6814.42,6518.23,6602.03,41785.1,277167900.06,6758.08
60,1531008000,6782.85,6684.15,6758.08,39671.12,268455446.1,6707.38
61,1531094400,6803.1,6625.58,6707.46,48761.43,328316145.78,6668.84
62,1531180800,6683.61,6277.23,6668.84,72513.31,470432142.71,6306.85
63,1531267200,6405.59,6293.68,6306.87,51054.67,327667754.35,6394.36
64,1531353600,6394.93,6084.0,6394.36,65555.38,409078182.65,6253.6
65,1531440000,6349.21,6131.54,6253.66,50964.41,319802271.97,6229.83
66,1531526400,6332.46,6190.18,6229.61,27713.18,174416786.37,6268.75
67,1531612800,6401.5,6245.75,6268.32,34225.9,218543291.78,6364.26
68,1531699200,6761.84,6349.83,6364.26,74798.53,494264915.91,6740.55
69,1531785600,7476.24,6677.56,6740.54,112707.21,799401451.35,7326.7
70,1531872000,7590.65,7253.71,7326.76,105818.71,788460811.94,7383.39
71,1531958400,7563.7,7289.9,7383.39,70179.39,522544440.45,7477.5
72,1532044800,7676.55,7279.34,7477.1,80874.93,603034414.79,7333.93
73,1532131200,7453.07,7220.37,7333.93,40295.77,297440355.21,7405.4
74,1532217600,7569.28,7345.25,7405.4,47479.76,355565264.85,7398.64
75,1532304000,7798.59,7376.66,7398.64,96722.04,745533303.01,7718.0
76,1532390400,8485.71,7692.16,7718.0,143800.43,1166560702.13,8395.82
77,1532476800,8481.11,8061.07,8395.81,89988.19,736530740.43,8170.23
78,1532563200,8302.24,7862.67,8170.37,78993.93,643953970.45,7937.25
79,1532649600,8278.01,7806.25,7937.1,80336.48,646256012.09,8182.89
80,1532736000,8238.04,8070.04,8182.88,36136.12,295872316.42,8230.87
81,1532822400,8291.55,8123.53,8230.82,34073.43,280233415.98,8216.78
82,1532908800,8273.61,7867.44,8216.7,83918.76,681120739.99,8176.06
83,1532995200,8176.27,7663.7,8176.08,97152.13,765186307.24,7735.3
84,1533081600,7760.74,7449.31,7736.25,78466.58,595404848.88,7610.9
85,1533168000,7713.32,7470.86,7610.9,55711.79,424093581.76,7542.34
86,1533254400,7542.49,7296.76,7542.34,79126.57,586982505.83,7417.6
87,1533340800,7490.89,6940.15,7417.6,74300.44,534002935.97,7017.89
88,1533427200,7092.53,6898.31,7017.89,52556.01,368914046.39,7042.39
89,1533513600,7160.4,6854.79,7042.57,58545.04,410408444.75,6945.78
90,1533600000,7150.86,6685.02,6945.77,82683.83,575690006.27,6723.21
91,1533686400,6723.99,6133.03,6723.29,130417.52,838853615.89,6285.02
92,1533772800,6631.23,6195.02,6285.06,89588.13,575748446.38,6543.24
93,1533859200,6582.14,6025.91,6543.25,100856.92,639457019.98,6153.41
94,1533945600,6488.55,6014.26,6152.95,87651.14,545722619.11,6242.54
95,1534032000,6483.39,6176.89,6242.53,57916.23,366460108.69,6322.92
96,1534118400,6545.02,6157.03,6322.41,71073.56,452431672.68,6263.2
97,1534204800,6266.5,5891.87,6263.2,125196.64,759847789.73,6199.6
98,1534291200,6620.07,6193.63,6199.63,132926.33,852103141.83,6274.22
99,1534377600,6478.07,6217.33,6274.22,71357.92,454679037.36,6323.81
100,1534464000,6594.72,6300.45,6323.81,73383.05,477089455.56,6591.16
101,1534550400,6622.16,6322.44,6591.18,52093.8,336744293.81,6405.71
102,1534636800,6560.88,6330.56,6405.74,39452.94,253984821.8,6502.18
103,1534723200,6537.54,6248.39,6502.24,61983.28,397981291.82,6269.9
104,1534809600,6506.69,6259.81,6270.09,61753.86,396746063.37,6491.11
105,1534896000,6890.79,6264.34,6491.09,116096.61,764005011.18,6366.13
106,1534982400,6575.28,6356.96,6366.14,52740.3,340811486.77,6538.95
107,1535068800,6736.83,6481.76,6539.13,58037.12,382456858.97,6708.96
108,1535155200,6808.89,6684.19,6708.94,38189.09,258296664.16,6749.56
109,1535241600,6793.17,6588.48,6749.71,39682.91,265820591.17,6720.6
110,1535328000,6944.21,6674.84,6720.6,59984.28,405769271.5,6915.73
111,1535414400,7136.71,6877.2,6915.92,69448.01,487789642.0,7091.38
112,1535500800,7137.47,6944.76,7091.38,50361.95,356139022.3,7052.0
113,1535587200,7072.64,6818.69,7051.61,61266.88,425475685.56,6998.76
114,1535673600,7096.73,6903.08,6998.76,49774.38,349131152.81,7026.96
115,1535760000,7272.03,7025.58,7026.96,41873.76,300301833.39,7203.46
116,1535846400,7384.38,7144.71,7203.46,61424.38,447453370.83,7301.26
117,1535932800,7350.58,7204.89,7301.25,42451.23,309327793.27,7270.05
118,1536019200,7417.65,7246.76,7270.05,46681.9,343762001.58,7369.86
119,1536105600,7401.43,6694.06,7369.89,113370.51,797851163.66,6705.03
120,1536192000,6727.19,6295.11,6705.06,127586.04,823309044.3,6515.42
121,1536278400,6549.39,6345.48,6515.42,53170.79,344487244.01,6411.78
122,1536364800,6480.57,6134.76,6413.12,49719.12,317380272.09,6200.16
123,1536451200,6451.25,6161.83,6200.23,38701.0,244400344.41,6249.07
124,1536537600,6371.42,6247.64,6249.07,50695.88,320435279.61,6324.43
125,1536624000,6415.51,6199.19,6324.43,51401.22,324512939.85,6295.54
126,1536710400,6357.89,6208.28,6295.54,52814.83,332537236.17,6337.11
127,1536796800,6534.89,6337.08,6337.08,65684.53,425090869.76,6492.0
128,1536883200,6591.59,6393.84,6492.17,58029.07,377989402.01,6486.01
129,1536969600,6573.19,6473.47,6485.39,31894.67,208349557.0,6522.08
130,1537056000,6525.05,6404.31,6522.68,30897.54,200545603.1,6502.44
131,1537142400,6538.82,6216.83,6502.44,62738.57,399675966.34,6261.48
132,1537228800,6393.39,6238.25,6261.33,55076.95,348485895.37,6346.44
133,1537315200,6522.9,6131.02,6346.44,71293.01,452379323.08,6398.8
134,1537401600,6551.93,6361.33,6398.83,46802.06,301619960.91,6505.9
135,1537488000,6785.22,6501.01,6505.97,85295.46,569642976.25,6762.06
136,1537574400,6834.49,6633.01,6762.07,38829.87,261159308.22,6716.6
137,1537660800,6768.56,6663.9,6716.6,25143.83,169080003.37,6702.7
138,1537747200,6717.6,6557.82,6702.73,48934.13,324660682.66,6583.53
139,1537833600,6583.54,6333.21,6583.53,65381.85,420279170.44,6437.74
140,1537920000,6543.92,6383.16,6437.74,40752.6,264402806.65,6462.6
141,1538006400,6733.94,6434.76,6462.6,52542.0,345096700.08,6686.13
142,1538092800,6806.1,6545.41,6686.13,74353.41,497340510.07,6635.38
143,1538179200,6635.42,6474.23,6635.4,37296.34,245055396.51,6603.75
144,1538265600,6741.96,6543.68,6603.75,26335.14,174302164.09,6623.71
145,1538352000,6662.6,6510.54,6623.82,38926.98,256959931.63,6594.98
146,1538438400,6618.95,6478.04,6594.98,40624.2,267166277.79,6525.47
147,1538524800,6537.07,6428.98,6525.46,47186.0,306385346.59,6492.26
148,1538611200,6622.32,6486.86,6492.61,42142.96,277614018.45,6579.79
149,1538697600,6683.55,6546.98,6580.0,39731.28,262562344.98,6632.87
150,1538784000,6637.08,6563.25,6632.88,24787.61,162722103.98,6589.94
151,1538870400,6622.49,6535.02,6589.94,27272.67,179378859.39,6601.15
152,1538956800,6698.31,6565.01,6601.46,47216.82,313507433.75,6650.07
153,1539043200,6657.0,6589.39,6650.07,32204.25,213976678.23,6631.79
154,1539129600,6633.22,6487.86,6631.79,49264.39,323664963.18,6581.07
155,1539216000,6581.59,6171.95,6581.07,104258.49,654924117.8,6209.47
156,1539302400,6296.56,6173.86,6209.47,46195.91,289840137.45,6250.85
157,1539388800,6280.73,6238.92,6252.1,21914.85,137705035.59,6267.27
158,1539475200,6346.56,6247.17,6267.27,34130.1,215422888.18,6277.73
159,1539561600,7234.83,6244.77,6277.73,177320.05,1190524168.21,6612.36
160,1539648000,6724.91,6545.54,6612.69,49191.34,324232509.78,6583.05
161,1539734400,6589.2,6511.6,6583.05,33538.55,220418636.64,6574.52
162,1539820800,6616.27,6445.05,6576.4,50725.31,331761115.45,6488.72
163,1539907200,6503.09,6449.36,6489.37,36599.64,237855085.41,6469.28
164,1539993600,6645.2,6395.45,6469.28,19543.75,127185847.78,6490.56
165,1540080000,6557.39,6474.47,6490.6,16019.49,105283929.06,6509.87
166,1540166400,6531.23,6460.38,6509.87,31239.03,202766914.4,6483.23
167,1540252800,6496.2,6438.99,6484.32,34071.62,220913293.6,6470.22
168,1540339200,6538.35,6465.73,6470.63,34111.66,222068131.83,6476.25
169,1540425600,6497.9,6432.3,6476.52,35706.92,231214963.95,6462.77
170,1540512000,6514.0,6441.81,6462.77,33284.54,215447656.36,6457.21
171,1540598400,6479.0,6445.95,6457.21,19092.86,124066466.34,6470.17
172,1540684800,6483.24,6444.74,6470.17,16806.73,109118160.99,6470.74
173,1540771200,6483.39,6282.58,6470.74,53760.53,342463526.52,6313.91
174,1540857600,6340.68,6286.3,6314.38,42701.22,269592154.08,6309.11
175,1540944000,6391.25,6241.49,6309.11,38823.41,245357244.49,6342.61
176,1541030400,6402.59,6322.6,6342.81,31397.71,199861220.45,6381.3
177,1541116800,6420.93,6371.57,6381.3,27987.6,179385606.7,6394.66
178,1541203200,6398.09,6336.96,6394.65,28808.38,183565304.27,6376.32
179,1541289600,6498.16,6351.92,6376.55,27317.02,175805188.92,6467.05
180,1541376000,6475.8,6406.69,6467.05,24142.0,155758902.3,6433.74
181,1541462400,6482.81,6412.56,6433.53,37162.36,239808254.25,6479.72
182,1541548800,6562.79,6476.59,6479.72,55100.44,360052788.55,6529.68
183,1541635200,6542.42,6438.27,6530.94,42073.45,273205386.68,6446.06
184,1541721600,6457.97,6352.45,6446.06,37086.04,237893036.71,6377.99
185,1541808000,6419.92,6376.17,6377.99,14658.42,94313328.59,6396.37
186,1541894400,6414.18,6326.38,6396.39,20337.03,130156001.58,6408.18
187,1541980800,6435.41,6350.87,6408.18,28338.62,181575610.86,6375.08
188,1542067200,6389.43,6315.58,6375.08,35761.27,227689745.72,6339.17
189,1542153600,6375.7,5469.93,6339.17,178422.8,1045469380.16,5741.47
190,1542240000,5767.06,5300.75,5740.51,147895.07,820864013.96,5647.5
191,1542326400,5676.54,5487.87,5647.5,71050.83,397196182.83,5586.27
192,1542412800,5602.01,5524.7,5586.97,29517.8,164182152.19,5568.94
193,1542499200,5701.35,5567.95,5567.95,41702.04,233409182.46,5615.26
194,1542585600,5615.98,4757.01,5615.26,207964.38,1072037780.45,4809.62
195,1542672000,4953.56,4168.25,4809.62,315023.21,1433400842.16,4441.81
196,1542758400,4689.55,4315.58,4441.81,152286.19,686284917.84,4593.04
197,1542844800,4640.72,4297.21,4593.04,83715.43,376852837.57,4320.68
198,1542931200,4419.48,4157.19,4320.68,121719.16,521825987.75,4343.42
